Fecha;Biomasa (g/m2);NDVI;SR;SAVI;EVI;;;;;;;;
16-feb;89.20;0.5454507;3.39996282;0.3260981;0.33419736;;;;;;;;
2-mar;77.68;0.54685509;3.41359914;0.2913499;0.28941547;;;;;;;;
22-mar;86.98;0.56752109;3.62450291;0.3291165;0.32721873;;;;;;;;
5-abr;96.13;0.62553685;4.34097943;0.36805807;0.37114336;;;;;;;;
20-abr;108.54;0.67696147;5.19121188;0.42852957;0.44099252;;;;;;;;
10-may;82.07;0.6125756;4.16233744;0.34235372;0.34275126;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
